"","dong","pop","workpop","facscore","b"
"1","가음정동",29081,"1461",13,"2"
"2","가포동",358,"3433",11,"1"
"3","경화동",6675,"4771",14,"1"
"4","교방동",4833,"1279",4,"1"
"5","구산면",2040,"2937",21,"1"
"6","구암1동",5664,"910",4,"1"
"7","구암2동",6045,"7133",5,"1"
"8","내서읍",41606,"3490",111,"3"
"9","노산동",3346,"5495",1,"1"
"10","대산면",3812,"2490",14,"1"
"11","덕산동",5932,"1689",13,"1"
"12","동읍",12113,"1393",34,"1"
"13","명곡동",29676,"1642",21,"2"
"14","문화동",6740,"16635",57,"2"
"15","반송동",27897,"1731",11,"2"
"16","반월중앙동",8818,"7620",102,"1"
"17","병암동",4407,"18263",30,"1"
"18","봉림동",20480,"3212",125,"3"
"19","봉암동",2239,"1382",3,"1"
"20","북면",25678,"8689",28,"2"
"21","사파동",32040,"2660",73,"3"
"22","산호동",7773,"2112",36,"1"
"23","상남동",19660,"6919",257,"3"
"24","석동",10739,"2203",42,"1"
"25","석전동",7786,"6980",37,"1"
"26","성주동",18583,"1439",6,"1"
"27","양덕1동",6949,"2017",31,"1"
"28","양덕2동",19924,"13994",70,"2"
"29","여좌동",4552,"4943",28,"1"
"30","오동동",11457,"34839",200,"3"
"31","완월동",5509,"16357",1,"1"
"32","용지동",21092,"8363",38,"2"
"33","웅남동",5140,"10179",7,"1"
"34","웅동1동",3765,"23014",51,"2"
"35","웅동2동",23610,"57177",44,"2"
"36","웅천동",6615,"4644",1,"1"
"37","월영동",19364,"6473",72,"2"
"38","의창동",23524,"4627",95,"3"
"39","이동",5224,"8702",43,"1"
"40","자산동",6432,"42960",30,"2"
"41","자은동",13206,"18126",6,"2"
"42","중앙동(진해)",17238,"12420",6,"2"
"43","중앙동(성산)",4884,"18567",98,"2"
"44","진동면",7171,"1309",36,"1"
"45","진북면",1772,"1423",31,"1"
"46","진전면",1675,"2672",40,"1"
"47","충무동",1893,"2009",28,"1"
"48","태백동",2758,"694",10,"1"
"49","태평동",3378,"1254",23,"1"
"50","팔룡동",25289,"1374",209,"3"
"51","풍호동",15497,"5112",8,"1"
"52","합성1동",5952,"2343",45,"1"
"53","합성2동",4934,"1602",48,"1"
"54","합포동",4047,"2218",30,"1"
"55","현동",8580,"3593",9,"1"
"56","회성동",3621,"6235",6,"1"
"57","회원1동",5952,"4460",25,"1"
"58","회원2동",4241,"9073",15,"1"
