cd,dong,pop,workpop,facscore,pop$cluster
3811255,가음정동,29081,1461,13,1
3811352,가포동,358,3433,11,2
3811556,경화동,6675,4771,14,2
3811361,교방동,4833,1279,4,2
3811331,구산면,2040,2937,21,2
3811460,구암1동,5664,910,4,2
3811461,구암2동,6045,7133,5,2
3811411,내서읍,41606,3490,111,1
3811362,노산동,3346,5495,1,2
3811132,대산면,3812,2490,14,2
3811561,덕산동,5932,1689,13,2
3811111,동읍,12113,1393,34,2
3811153,명곡동,29676,1642,21,1
3811354,문화동,6740,16635,57,2
3811251,반송동,27897,1731,11,1
3811366,반월중앙동,8818,7620,102,2
3811557,병암동,4407,18263,30,2
3811154,봉림동,20480,3212,125,1
3811462,봉암동,2239,1382,3,2
3811131,북면,25678,8689,28,1
3811254,사파동,32040,2660,73,1
3811365,산호동,7773,2112,36,2
3811253,상남동,19660,6919,257,1
3811558,석동,10739,2203,42,2
3811463,석전동,7786,6980,37,2
3811256,성주동,18583,1439,6,2
3811456,양덕1동,6949,2017,31,2
3811457,양덕2동,19924,13994,70,1
3811554,여좌동,4552,4943,28,2
3811367,오동동,11457,34839,200,3
3811357,완월동,5509,16357,1,2
3811155,용지동,21092,8363,38,1
3811257,웅남동,5140,10179,7,2
3811564,웅동1동,3765,23014,51,2
3811565,웅동2동,23610,57177,44,3
3811563,웅천동,6615,4644,1,2
3811353,월영동,19364,6473,72,1
3811151,의창동,23524,4627,95,1
3811559,이동,5224,8702,43,2
3811358,자산동,6432,42960,30,3
3811560,자은동,13206,18126,6,2
3811252,중앙동(성산),4884,18567,98,2
3811551,중앙동(진해),17238,12420,6,2
3811332,진동면,7171,1309,36,2
3811333,진북면,1772,1423,31,2
3811334,진전면,1675,2672,40,2
3811553,충무동,1893,2009,28,2
3811555,태백동,2758,694,10,2
3811552,태평동,3378,1254,23,2
3811152,팔룡동,25289,1374,209,1
3811562,풍호동,15497,5112,8,2
3811458,합성1동,5952,2343,45,2
3811459,합성2동,4934,1602,48,2
3811364,합포동,4047,2218,30,2
3811351,현동,8580,3593,9,2
3811455,회성동,3621,6235,6,2
3811451,회원1동,5952,4460,25,2
3811452,회원2동,4241,9073,15,2
