name,Latitude,Longitude
동읍사무소,35.28460,128.68276
마금산온천 공영주차장,35.35362,128.61137
중앙모터스,35.25509,128.60308
롯데마트 시티세븐점,35.24052,128.65320
한국도로공사 창원지사,35.28482,128.70108
경남도청,35.23685,128.69037
남광석유판매,35.23834,128.63376
이마트 창원점,35.22680,128.68034
성주동주민센터,35.18997,128.69501
마산의료원,35.19888,128.56649
구산면사무소,35.11970,128.58058
이마트 마산점,35.19804,128.56950
롯데마트 마산점,35.18137,128.56074
진동면사무소,35.11592,128.48465
롯데마트 양덕점,35.22335,128.58526
홈플러스 마산점,35.22286,128.58580
롯데마트 삼계점,35.23327,128.50409
진해해양공원,35.09152,128.71976
웅동2동주민센터,35.10138,128.81473
속천항공영주차장,35.14496,128.67320
홈플러스 진해점,35.15333,128.69113
경화시장 공영주차장,35.15433,128.69245
한전 진해지사,35.16394,128.66118
대산농협,35.34454,128.70956
늘푸른전당,35.22952,128.65462
화천민원센터,35.29951,128.60269
창원스포츠파크,35.23429,128.66454
한전 경남지역본부,35.23193,128.68899
LH 경남지역본부,35.23252,128.68656
홈플러스 창원점,35.23402,128.64389
의창구청앞 복개주차장,35.25462,128.63921
남창원농협 농수산물유통센터,35.20409,128.70315
창원축구센터 주차장,35.22175,128.70547
창원경상대병원 주차장,35.19828,128.70725
한전 마산지사,35.25155,128.60066
내서읍사무소 주차장,35.24733,128.50782
마산자유무역관리원 청사옆,35.21182,128.58944
마산자유무역관리원 표준공장 앞,35.22096,128.59257
마산어시장 공영주차장,35.20393,128.57898
